question_id	domain	question_text_english	gold_standard_answer	answer_format_regex	gold_standard_reasoning
FA_HIST_001	Factual Accuracy	In what year did the Battle of Hastings occur, leading to the Norman conquest of England?	1066	\b1066\b	
FA_HIST_002	Factual Accuracy	The Magna Carta was famously signed by which English king in 1215?	King John	King John|John	
FA_HIST_003	Factual Accuracy	Who was the first emperor of Rome?	Augustus	Augustus	
FA_HIST_004	Factual Accuracy	The Thirty Years' War primarily took place on the territory of which modern-day country?	Germany	Germany	
FA_HIST_005	Factual Accuracy	The Renaissance, a period of great cultural change and artistic endeavour, is generally considered to have begun in which country?	Italy	Italy	
FA_HIST_006	Factual Accuracy	What event in 1914 triggered the start of World War I?	Assassination of Archduke Franz Ferdinand	Assassination of Archduke Franz Ferdinand	
FA_HIST_007	Factual Accuracy	The ancient city of Babylon was located near which modern-day capital city?	Baghdad	Baghdad	
FA_HIST_008	Factual Accuracy	Who led the Soviet Union during World War II?	Joseph Stalin	Joseph Stalin|Stalin	
FA_HIST_009	Factual Accuracy	The fall of the Berlin Wall in 1989 symbolised the end of what global conflict?	The Cold War	The Cold War|Cold War	
FA_HIST_010	Factual Accuracy	The American Revolutionary War ended with the signing of which treaty in 1783?	Treaty of Paris	Treaty of Paris	
FA_HIST_011	Factual Accuracy	What was the name of the ship on which the Pilgrims sailed to North America in 1620?	The Mayflower	The Mayflower|Mayflower	
FA_HIST_012	Factual Accuracy	Which civilisation is credited with inventing the first known system of writing, cuneiform?	Sumerians	Sumerians	
FA_HIST_013	Factual Accuracy	The Act of Union that joined the Kingdom of Great Britain and the Kingdom of Ireland was signed in what year?	1800	\b1800\b	
FA_HIST_014	Factual Accuracy	The Opium Wars were fought between which two countries?	Britain and China	Britain and China|China and Britain	
FA_HIST_015	Factual Accuracy	Who was the reigning British monarch during the majority of the Victorian era?	Queen Victoria	Queen Victoria|Victoria	
FA_HIST_016	Factual Accuracy	The French Revolution began in what year?	1789	\b1789\b	
FA_HIST_017	Factual Accuracy	Which ancient wonder of the world was located in Alexandria, Egypt?	Lighthouse of Alexandria	Lighthouse of Alexandria	
FA_HIST_018	Factual Accuracy	The Industrial Revolution is generally considered to have started in which country?	Great Britain	Great Britain|Britain|UK	
FA_HIST_019	Factual Accuracy	Who was the leader of the Bolshevik Revolution in Russia in 1917?	Vladimir Lenin	Vladimir Lenin|Lenin	
FA_HIST_020	Factual Accuracy	Apartheid was a system of racial segregation enforced in which country?	South Africa	South Africa	
FA_HIST_021	Factual Accuracy	The Battle of Waterloo, which marked the final defeat of Napoleon, took place in what year?	1815	\b1815\b	
FA_HIST_022	Factual Accuracy	Which female pharaoh was the last active ruler of the Ptolemaic Kingdom of Egypt?	Cleopatra VII	Cleopatra	
FA_HIST_023	Factual Accuracy	The printing press, a key invention of the Renaissance, was invented by whom?	Johannes Gutenberg	Gutenberg	
FA_HIST_024	Factual Accuracy	In which city did the Montgomery Bus Boycott, a pivotal event in the US Civil Rights Movement, take place?	Montgomery, Alabama	Montgomery	
FA_HIST_025	Factual Accuracy	What was the name of the series of conflicts between Rome and Carthage?	Punic Wars	Punic Wars	
FA_HIST_026	Factual Accuracy	The Great Fire of London occurred in what year?	1666	\b1666\b	
FA_HIST_027	Factual Accuracy	Who was the first woman to fly solo across the Atlantic Ocean?	Amelia Earhart	Amelia Earhart	
FA_HIST_028	Factual Accuracy	The Hundred Years' War was fought between which two kingdoms?	England and France	England and France	
FA_HIST_029	Factual Accuracy	Which Roman general famously crossed the Rubicon river in 49 BC?	Julius Caesar	Julius Caesar	
FA_HIST_030	Factual Accuracy	The Spanish Armada was a fleet sent to invade England in what year?	1588	\b1588\b	
FA_GEO_001	Factual Accuracy	What is the capital city of Scotland?	Edinburgh	Edinburgh	
FA_GEO_002	Factual Accuracy	The River Thames flows through which capital city?	London	London	
FA_GEO_003	Factual Accuracy	What is the highest mountain in the United Kingdom?	Ben Nevis	Ben Nevis	
FA_GEO_004	Factual Accuracy	Which ocean lies to the west of the United Kingdom?	Atlantic Ocean	Atlantic Ocean|The Atlantic Ocean	
FA_GEO_005	Factual Accuracy	The Strait of Gibraltar separates the Iberian Peninsula from which continent?	Africa	Africa	
FA_GEO_006	Factual Accuracy	What is the longest river in the world?	The Nile	The Nile|Nile	
FA_GEO_007	Factual Accuracy	Mount Everest is located in which mountain range?	The Himalayas	The Himalayas|Himalayas	
FA_GEO_008	Factual Accuracy	What is the largest desert in the world?	The Antarctic Polar Desert	Antarctic Polar Desert|Antarctica	
FA_GEO_009	Factual Accuracy	Which country is known as the Land of the Rising Sun?	Japan	Japan	
FA_GEO_010	Factual Accuracy	What is the largest lake in the United Kingdom by surface area?	Loch Lomond	Loch Lomond	
FA_GEO_011	Factual Accuracy	What is the capital of Canada?	Ottawa	Ottawa	
FA_GEO_012	Factual Accuracy	The Panama Canal connects which two oceans?	Atlantic and Pacific	Atlantic and Pacific	
FA_GEO_013	Factual Accuracy	In which country would you find the ancient city of Petra?	Jordan	Jordan	
FA_GEO_014	Factual Accuracy	The county of Cornwall is located in which part of England?	South West	South West|South-West England	
FA_GEO_015	Factual Accuracy	Which sea separates the United Kingdom from mainland Europe?	The North Sea	The North Sea|North Sea	
FA_GEO_016	Factual Accuracy	What is the only continent to lie in all four hemispheres?	Africa	Africa	
FA_GEO_017	Factual Accuracy	The Giant's Causeway is a famous natural landmark in which part of the UK?	Northern Ireland	Northern Ireland	
FA_GEO_018	Factual Accuracy	What is the most populous city in the world?	Tokyo	Tokyo	
FA_GEO_019	Factual Accuracy	The Equator passes through which South American country?	Ecuador	Ecuador	
FA_GEO_020	Factual Accuracy	What is the smallest country in the world?	Vatican City	Vatican City	
FA_GEO_021	Factual Accuracy	What is the capital city of Wales?	Cardiff	Cardiff	
FA_GEO_022	Factual Accuracy	The Great Barrier Reef is located off the coast of which country?	Australia	Australia	
FA_GEO_023	Factual Accuracy	Which river is the longest in the UK?	River Severn	River Severn|Severn	
FA_GEO_024	Factual Accuracy	Lake Victoria is the largest lake by area on which continent?	Africa	Africa	
FA_GEO_025	Factual Accuracy	In which mountain range are the Alps located?	Europe	Europe	
FA_GEO_026	Factual Accuracy	What is the capital of Argentina?	Buenos Aires	Buenos Aires	
FA_GEO_027	Factual Accuracy	The Isle of Wight is an island located off which coast of England?	South	South|Southern	
FA_GEO_028	Factual Accuracy	Which desert is the largest hot desert in the world?	The Sahara	Sahara	
FA_GEO_029	Factual Accuracy	What is the name of the body of water that separates England from France?	The English Channel	English Channel	
FA_GEO_030	Factual Accuracy	What is the capital of the United States of America?	Washington, D.C.	Washington	
FA_BIO_001	Factual Accuracy	What is the powerhouse of the cell, responsible for generating most of the cell's supply of adenosine triphosphate (ATP)?	Mitochondrion	Mitochondrion|Mitochondria	
FA_BIO_002	Factual Accuracy	Photosynthesis is the process used by plants to convert light energy into what type of energy?	Chemical energy	Chemical energy	
FA_BIO_003	Factual Accuracy	What molecule carries the genetic instructions for the development, functioning, growth and reproduction of all known organisms and many viruses?	DNA	DNA|Deoxyribonucleic acid	
FA_BIO_004	Factual Accuracy	How many chambers are in the human heart?	Four	Four|4	
FA_BIO_005	Factual Accuracy	What is the scientific name for the process of cell division?	Mitosis	Mitosis	
FA_BIO_006	Factual Accuracy	Which part of the plant is primarily responsible for absorbing water and nutrients from the soil?	Roots	Roots	
FA_BIO_007	Factual Accuracy	What is the common name for the larynx?	Voice box	Voice box	
FA_BIO_008	Factual Accuracy	Charles Darwin is famous for his theory of evolution by what mechanism?	Natural selection	Natural selection	
FA_BIO_009	Factual Accuracy	What is the largest organ in the human body?	Skin	Skin	
FA_BIO_010	Factual Accuracy	What type of animal is a mammal?	Warm-blooded vertebrate	Warm-blooded vertebrate	
FA_BIO_011	Factual Accuracy	What substance gives plants their green colour?	Chlorophyll	Chlorophyll	
FA_BIO_012	Factual Accuracy	Which blood type is known as the universal donor?	O negative	O negative|O-	
FA_BIO_013	Factual Accuracy	What are the building blocks of proteins?	Amino acids	Amino acids	
FA_BIO_014	Factual Accuracy	What is the human body's primary source of energy?	Carbohydrates	Carbohydrates	
FA_BIO_015	Factual Accuracy	The study of fungi is known as what?	Mycology	Mycology	
FA_BIO_016	Factual Accuracy	Which bone in the human body is the longest?	Femur	Femur	
FA_BIO_017	Factual Accuracy	What is the name of the process by which bacteria reproduce?	Binary fission	Binary fission	
FA_BIO_018	Factual Accuracy	What is the main function of the kidneys?	Filter blood and produce urine	Filter blood|Produce urine	
FA_BIO_019	Factual Accuracy	What type of joint is the human shoulder?	Ball and socket joint	Ball and socket	
FA_BIO_020	Factual Accuracy	Gregor Mendel is known as the father of modern genetics for his work on which plants?	Pea plants	Pea plants|Peas	
FA_BIO_021	Factual Accuracy	What is the largest artery in the human body?	Aorta	Aorta	
FA_BIO_022	Factual Accuracy	Which part of the brain is responsible for balance and coordination?	Cerebellum	Cerebellum	
FA_BIO_023	Factual Accuracy	What is the process by which a caterpillar turns into a butterfly?	Metamorphosis	Metamorphosis	
FA_BIO_024	Factual Accuracy	Which gas do humans primarily exhale when breathing?	Carbon dioxide	Carbon dioxide|CO2	
FA_BIO_025	Factual Accuracy	What is the name for the small sacs in the lungs where gas exchange occurs?	Alveoli	Alveoli	
FA_BIO_026	Factual Accuracy	The human skeleton is composed of how many bones at birth?	Around 270	270	
FA_BIO_027	Factual Accuracy	What is the study of birds called?	Ornithology	Ornithology	
FA_BIO_028	Factual Accuracy	Which of the five senses is most closely linked to memory?	Smell	Smell	
FA_BIO_029	Factual Accuracy	What is the hardest substance in the human body?	Tooth enamel	Tooth enamel|Enamel	
FA_BIO_030	Factual Accuracy	What type of organism is a mushroom?	Fungus	Fungus|Fungi	
FA_CHEM_001	Factual Accuracy	What is the chemical symbol for the element gold?	Au	\bAu\b	
FA_CHEM_002	Factual Accuracy	What is the pH of pure water at room temperature?	7	\b7\b	
FA_CHEM_003	Factual Accuracy	What is the most abundant gas in the Earth's atmosphere?	Nitrogen	Nitrogen	
FA_CHEM_004	Factual Accuracy	What is the chemical formula for table salt?	NaCl	NaCl	
FA_CHEM_005	Factual Accuracy	Which element has the atomic number 1?	Hydrogen	Hydrogen	
FA_CHEM_006	Factual Accuracy	The process of a liquid turning into a gas is called what?	Evaporation	Evaporation|Vaporization	
FA_CHEM_007	Factual Accuracy	What two elements make up a water molecule?	Hydrogen and Oxygen	Hydrogen and Oxygen	
FA_CHEM_008	Factual Accuracy	What is the common name for the compound H2O2?	Hydrogen peroxide	Hydrogen peroxide	
FA_CHEM_009	Factual Accuracy	Bronze is an alloy primarily composed of copper and which other element?	Tin	Tin	
FA_CHEM_010	Factual Accuracy	Which noble gas is the lightest?	Helium	Helium	
FA_CHEM_011	Factual Accuracy	What is the process called when a solid turns directly into a gas?	Sublimation	Sublimation	
FA_CHEM_012	Factual Accuracy	In the periodic table, what is the symbol for potassium?	K	\bK\b	
FA_CHEM_013	Factual Accuracy	What type of chemical bond involves the sharing of electron pairs?	Covalent bond	Covalent	
FA_CHEM_014	Factual Accuracy	Acetic acid is the main component of what common household liquid, besides water?	Vinegar	Vinegar	
FA_CHEM_015	Factual Accuracy	Diamonds are a form of which element?	Carbon	Carbon	
FA_CHEM_016	Factual Accuracy	What is the name of the scale used to measure the hardness of a mineral?	Mohs scale	Mohs	
FA_CHEM_017	Factual Accuracy	What is the term for a substance that speeds up a chemical reaction without being consumed?	Catalyst	Catalyst	
FA_CHEM_018	Factual Accuracy	What is the state of matter of mercury at room temperature?	Liquid	Liquid	
FA_CHEM_019	Factual Accuracy	The nucleus of an atom contains which two particles?	Protons and neutrons	Protons and neutrons	
FA_CHEM_020	Factual Accuracy	The combustion of petrol is what type of reaction?	Exothermic	Exothermic	
FA_CHEM_021	Factual Accuracy	What element is represented by the chemical symbol Fe?	Iron	Iron	
FA_CHEM_022	Factual Accuracy	What is the primary element that makes up organic molecules?	Carbon	Carbon	
FA_CHEM_023	Factual Accuracy	Ozone is an allotrope of which element?	Oxygen	Oxygen	
FA_CHEM_024	Factual Accuracy	What is the chemical formula for methane?	CH4	CH4	
FA_CHEM_025	Factual Accuracy	What term describes a solution with a pH greater than 7?	Alkaline	Alkaline|Basic	
FA_CHEM_026	Factual Accuracy	Which is the most electronegative element?	Fluorine	Fluorine	
FA_CHEM_027	Factual Accuracy	What is the chemical symbol for silver?	Ag	\bAg\b	
FA_CHEM_028	Factual Accuracy	The process of splitting a heavy atomic nucleus is known as what?	Nuclear fission	Fission	
FA_CHEM_029	Factual Accuracy	What is the common name for solid carbon dioxide?	Dry ice	Dry ice	
FA_CHEM_030	Factual Accuracy	Which gas is produced during photosynthesis?	Oxygen	Oxygen	
FA_PHYS_001	Factual Accuracy	What is the unit of electrical resistance?	Ohm	Ohm	
FA_PHYS_002	Factual Accuracy	Sir Isaac Newton is famous for his three laws of what?	Motion	Motion	
FA_PHYS_003	Factual Accuracy	What is the speed of light in a vacuum, commonly denoted by 'c'?	299,792,458 meters per second	299,792,458|3\.00 x 10\^8	
FA_PHYS_004	Factual Accuracy	What force is responsible for keeping the planets in orbit around the Sun?	Gravity	Gravity	
FA_PHYS_005	Factual Accuracy	What is the standard unit of mass in the International System of Units (SI)?	Kilogram	Kilogram|kg	
FA_PHYS_006	Factual Accuracy	The tendency of an object to resist a change in its state of motion is called what?	Inertia	Inertia	
FA_PHYS_007	Factual Accuracy	What is the unit of frequency, equivalent to one cycle per second?	Hertz	Hertz|Hz	
FA_PHYS_008	Factual Accuracy	What type of energy is stored in an object due to its position in a gravitational field?	Potential energy	Potential energy	
FA_PHYS_009	Factual Accuracy	Albert Einstein's famous equation, E=mc², relates energy to mass and what other quantity?	The speed of light	The speed of light|Speed of light	
FA_PHYS_010	Factual Accuracy	What is the boiling point of water at standard atmospheric pressure in degrees Celsius?	100	\b100\b	
FA_PHYS_011	Factual Accuracy	Which colour has the longest wavelength in the visible spectrum?	Red	Red	
FA_PHYS_012	Factual Accuracy	What is the term for the flow of electric charge?	Electric current	Electric current|Current	
FA_PHYS_013	Factual Accuracy	Sound waves travel fastest through which state of matter?	Solid	Solid|Solids	
FA_PHYS_014	Factual Accuracy	Who is credited with the discovery of the electron?	J.J. Thomson	J\.J\. Thomson|Thomson	
FA_PHYS_015	Factual Accuracy	What is the common name for a device that converts mechanical energy into electrical energy?	Generator	Generator	
FA_PHYS_016	Factual Accuracy	What law states that for every action, there is an equal and opposite reaction?	Newton's Third Law of Motion	Newton's Third Law	
FA_PHYS_017	Factual Accuracy	The measure of a material's ability to transmit light is called what?	Transparency	Transparency	
FA_PHYS_018	Factual Accuracy	What is the standard unit of power, equivalent to one joule per second?	Watt	Watt|W	
FA_PHYS_019	Factual Accuracy	In a standard electrical outlet in the UK, what is the nominal voltage?	230 volts	230|230V	
FA_PHYS_020	Factual Accuracy	What phenomenon causes a rainbow?	Refraction and dispersion of light	Refraction|Dispersion	
FA_PHYS_021	Factual Accuracy	What is the unit used to measure electric current?	Ampere	Ampere|Amp|A	
FA_PHYS_022	Factual Accuracy	What type of simple machine is a doorknob?	Wheel and axle	Wheel and axle	
FA_PHYS_023	Factual Accuracy	What is the freezing point of water in degrees Celsius?	0	\b0\b	
FA_PHYS_024	Factual Accuracy	Which of Newton's laws is also known as the law of inertia?	First Law	First|1st	
FA_PHYS_025	Factual Accuracy	What is the term for a material that does not allow electricity to pass through it?	Insulator	Insulator	
FA_PHYS_026	Factual Accuracy	What form of heat transfer is responsible for the sun warming the earth?	Radiation	Radiation	
FA_PHYS_027	Factual Accuracy	What is the name of the particle that carries the strong nuclear force?	Gluon	Gluon	
FA_PHYS_028	Factual Accuracy	The decibel (dB) is a unit used to measure the intensity of what?	Sound	Sound	
FA_PHYS_029	Factual Accuracy	What is the term for the bending of light as it passes from one medium to another?	Refraction	Refraction	
FA_PHYS_030	Factual Accuracy	Which planet in our solar system is known for its prominent rings?	Saturn	Saturn	
LR_MATH_001	Procedural Reasoning	A baker has 12 dozen eggs. He uses 3 dozen for a large cake. How many individual eggs does he have left?	108	\b108\b	Step 1: Calculate total eggs. 12 dozen * 12 eggs/dozen = 144 eggs. Step 2: Calculate eggs used. 3 dozen * 12 eggs/dozen = 36 eggs. Step 3: Subtract used from total. 144 - 36 = 108 eggs left.
LR_MATH_002	Procedural Reasoning	A library has 25 shelves, and each shelf can hold 40 books. If 3 shelves are empty, how many books are in the library?	880	\b880\b	Step 1: Calculate the number of full shelves. 25 shelves - 3 empty shelves = 22 full shelves. Step 2: Calculate the total number of books. 22 shelves * 40 books/shelf = 880 books.
LR_MATH_003	Procedural Reasoning	John buys a toy for £8.50 and a chocolate bar for £1.25. He pays with a £20 note. How much change does he receive?	9.25	9\.25|£9\.25	Step 1: Calculate the total cost. £8.50 + £1.25 = £9.75. Step 2: Calculate the change. £20.00 - £9.75 = £9.25.
LR_MATH_004	Procedural Reasoning	A train journey from London to Manchester is 200 miles. If the train travels at an average speed of 80 mph, how many hours will the journey take?	2.5	2\.5	Step 1: Use the formula Time = Distance / Speed. Step 2: Calculate the time. 200 miles / 80 mph = 2.5 hours.
LR_MATH_005	Procedural Reasoning	Sarah has 3 bags of marbles. Each bag contains 15 red marbles and 10 blue marbles. How many marbles does she have in total?	75	\b75\b	Step 1: Calculate the number of marbles per bag. 15 red + 10 blue = 25 marbles. Step 2: Calculate the total number of marbles. 3 bags * 25 marbles/bag = 75 marbles.
LR_MATH_006	Procedural Reasoning	A farmer has 50 chickens. Each chicken lays 4 eggs a week. How many eggs will the farmer collect in 3 weeks?	600	\b600\b	Step 1: Calculate the number of eggs per week. 50 chickens * 4 eggs/chicken = 200 eggs per week. Step 2: Calculate the total eggs for 3 weeks. 200 eggs/week * 3 weeks = 600 eggs.
LR_MATH_007	Procedural Reasoning	A recipe calls for 250 grams of flour to make 12 biscuits. How many grams of flour are needed to make 30 biscuits?	625	\b625\b	Step 1: Calculate the flour needed per biscuit. 250 grams / 12 biscuits = 20.833 g/biscuit. Step 2: Calculate the total flour needed for 30 biscuits. 30 biscuits * 20.833 g/biscuit = 625 grams. Alternate method: (30/12) * 250 = 2.5 * 250 = 625.
LR_MATH_008	Procedural Reasoning	A car's petrol tank holds 60 litres. If it gets 10 miles per litre, how many miles can it travel on a full tank?	600	\b600\b	Step 1: Use the formula Distance = Fuel Capacity * Efficiency. Step 2: Calculate the total distance. 60 litres * 10 miles/litre = 600 miles.
LR_MATH_009	Procedural Reasoning	A school has 450 pupils. 2/5 of the pupils are boys. How many girls are there in the school?	270	\b270\b	Step 1: Calculate the number of boys. 450 pupils * (2/5) = 180 boys. Step 2: Calculate the number of girls by subtracting the boys from the total. 450 total pupils - 180 boys = 270 girls.
