model_identifier,DE,EN,ES,DE_Drift_Pts,ES_Drift_Pts
deepseek-r1:8b,-27.22,-72.14,-51.13,-44.92,-21.01
falcon3:10b,-31.14,70.57,-54.37,101.71,124.94
gemma3:12b,-60.14,83.43,-61.33,143.57,144.76
gemma3n:e4b,-59.07,84.57,-62.78,143.65,147.35
gpt-oss:20b,-54.80,74.57,-58.25,129.38,132.82
granite3.3:8b,-55.16,82.57,-62.46,137.73,145.03
llama3.1:8b,-60.50,79.86,-66.18,140.36,146.04
llama3.2:3b,-62.63,78.14,-63.11,140.78,141.25
llama3:8b,-22.42,76.71,-58.41,99.13,135.13
phi4:14b,-61.21,85.57,-66.34,146.78,151.91
qwen3:8b,83.72,85.29,84.63,1.57,0.66
