question_id,model_identifier,language,domain,score,score_category,reasoning_similarity,prompt_text
FA_HIST_001,llama3:8b,EN,Factual Accuracy,1.0,Correct,,"In what year did the Battle of Hastings occur, leading to the Norman conquest of England?"
FA_HIST_002,llama3:8b,EN,Factual Accuracy,1.0,Correct,,The Magna Carta was famously signed by which English king in 1215?
FA_HIST_003,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Who was the first emperor of Rome?
FA_HIST_004,llama3:8b,EN,Factual Accuracy,1.0,Correct,,The Thirty Years' War primarily took place on the territory of which modern-day country?
FA_HIST_005,llama3:8b,EN,Factual Accuracy,1.0,Correct,,"The Renaissance, a period of great cultural change and artistic endeavour, is generally considered to have begun in which country?"
FA_HIST_006,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What event in 1914 triggered the start of World War I?
FA_HIST_007,llama3:8b,EN,Factual Accuracy,1.0,Correct,,The ancient city of Babylon was located near which modern-day capital city?
FA_HIST_008,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Who led the Soviet Union during World War II?
FA_HIST_009,llama3:8b,EN,Factual Accuracy,1.0,Correct,,The fall of the Berlin Wall in 1989 symbolised the end of what global conflict?
FA_HIST_010,llama3:8b,EN,Factual Accuracy,1.0,Correct,,The American Revolutionary War ended with the signing of which treaty in 1783?
FA_HIST_011,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What was the name of the ship on which the Pilgrims sailed to North America in 1620?
FA_HIST_012,llama3:8b,EN,Factual Accuracy,1.0,Correct,,"Which civilisation is credited with inventing the first known system of writing, cuneiform?"
FA_HIST_013,llama3:8b,EN,Factual Accuracy,1.0,Correct,,The Act of Union that joined the Kingdom of Great Britain and the Kingdom of Ireland was signed in what year?
FA_HIST_014,llama3:8b,EN,Factual Accuracy,-1.0,Incorrect,,The Opium Wars were fought between which two countries?
FA_HIST_015,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Who was the reigning British monarch during the majority of the Victorian era?
FA_HIST_016,llama3:8b,EN,Factual Accuracy,1.0,Correct,,The French Revolution began in what year?
FA_HIST_017,llama3:8b,EN,Factual Accuracy,1.0,Correct,,"Which ancient wonder of the world was located in Alexandria, Egypt?"
FA_HIST_018,llama3:8b,EN,Factual Accuracy,-1.0,Incorrect,,The Industrial Revolution is generally considered to have started in which country?
FA_HIST_019,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Who was the leader of the Bolshevik Revolution in Russia in 1917?
FA_HIST_020,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Apartheid was a system of racial segregation enforced in which country?
FA_HIST_021,llama3:8b,EN,Factual Accuracy,1.0,Correct,,"The Battle of Waterloo, which marked the final defeat of Napoleon, took place in what year?"
FA_HIST_022,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Which female pharaoh was the last active ruler of the Ptolemaic Kingdom of Egypt?
FA_HIST_023,llama3:8b,EN,Factual Accuracy,1.0,Correct,,"The printing press, a key invention of the Renaissance, was invented by whom?"
FA_HIST_024,llama3:8b,EN,Factual Accuracy,1.0,Correct,,"In which city did the Montgomery Bus Boycott, a pivotal event in the US Civil Rights Movement, take place?"
FA_HIST_025,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What was the name of the series of conflicts between Rome and Carthage?
FA_HIST_026,llama3:8b,EN,Factual Accuracy,1.0,Correct,,The Great Fire of London occurred in what year?
FA_HIST_027,llama3:8b,EN,Factual Accuracy,-1.0,Incorrect,,Who was the first woman to fly solo across the Atlantic Ocean?
FA_HIST_028,llama3:8b,EN,Factual Accuracy,-1.0,Incorrect,,The Hundred Years' War was fought between which two kingdoms?
FA_HIST_029,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Which Roman general famously crossed the Rubicon river in 49 BC?
FA_HIST_030,llama3:8b,EN,Factual Accuracy,1.0,Correct,,The Spanish Armada was a fleet sent to invade England in what year?
